frame,t,area,cx,cy,bw,bh,px
0,0.0,0.023703866432337434,0.3286861387859129,0.6382866873740738,0.45625,0.335676625659051,4316
1,0.0333,0.02398396309314587,0.33393419395465995,0.6376421982571796,0.459375,0.3391915641476274,4367
2,0.0667,0.024511203866432338,0.33529436477705576,0.6395475077841751,0.4625,0.3444639718804921,4463
3,0.1,0.025433875219683655,0.33343567803930035,0.6419331933986555,0.46875,0.34973637961335674,4631
4,0.1333,0.02703207381370826,0.3287637139374238,0.6460634759899422,0.475,0.3585237258347979,4922
5,0.1667,0.019722100175746923,0.23694566276803117,0.14521315982790406,0.59375,0.4727592267135325,3591
6,0.2,0.02131480667838313,0.2194038263334192,0.1305730364096366,0.65,0.4727592267135325,3881
7,0.2333,0.02015597539543058,0.20975732288828336,0.12596936161246605,0.696875,0.4710017574692443,3670
8,0.2667,0.018881810193321618,0.20401487056428155,0.12313479758432325,0.75,0.4710017574692443,3438
9,0.3,0.016377416520210897,0.2201228202548625,0.13422833427041453,0.78125,0.4710017574692443,2982
10,0.3333,0.013686291739894552,0.24989340890850725,0.15325949893790183,0.7875,0.4710017574692443,2492
11,0.3667,0.011533391915641476,0.29125744047619045,0.17871035233073898,0.796875,0.46924428822495606,2100
12,0.4,0.010050527240773287,0.3275973360655738,0.20166815523351292,0.803125,0.46924428822495606,1830
13,0.4333,0.009473857644991212,0.3694076086956522,0.22639158452408242,0.80625,0.46924428822495606,1725
14,0.4667,0.008573154657293497,0.4052870755925689,0.24662889027244714,0.8125,0.46924428822495606,1561
15,0.5,0.008216168717047452,0.4311852439839572,0.26113220491903427,0.8125,0.46924428822495606,1496
16,0.5333,0.008056898066783832,0.43994333674164965,0.26803143078602126,0.815625,0.46924428822495606,1467
17,0.5667,0.007793277680140598,0.45046247357293867,0.2734963977453862,0.81875,0.46924428822495606,1419
18,0.6,0.007639499121265378,0.4622169302659957,0.2774552451802259,0.81875,0.46748681898066785,1391
19,0.6333,0.0075845782073813706,0.467238414192614,0.28068603658233954,0.81875,0.46748681898066785,1381
20,0.6667,0.012840509666080843,0.4979068648417451,0.5353553500581062,0.175,0.3321616871704745,2338
21,0.7,0.015674428822495607,0.5069595304835319,0.5490533435636845,0.1875,0.3602811950790861,2854
22,0.7333,0.01865663444639719,0.5153453414777746,0.5565150269570018,0.2,0.3866432337434095,3397
23,0.7667,0.021682776801405977,0.5192003862715299,0.5666547365309659,0.2,0.4077328646748682,3948
24,0.8,0.02391256590509666,0.5207567753789618,0.5746375471961624,0.2125,0.4235500878734622,4354
25,0.8333,0.025670035149384887,0.5184551508344031,0.5811045359551736,0.21875,0.43409490333919154,4674
26,0.8667,0.02696616871704745,0.5144030040733197,0.5851631654490853,0.225,0.44112478031634444,4910
27,0.9,0.028020650263620387,0.5081150774206193,0.5876481809745515,0.225,0.44639718804920914,5102
28,0.9333,0.02914652899824253,0.5024931693989071,0.5841070072587089,0.225,0.44815465729349735,5307
29,0.9667,0.029811072056239014,0.493904868275608,0.5892725087517307,0.2375,0.45342706502636204,5428
30,1.0,0.03171133567662566,0.4880736924142709,0.5923030517385066,0.24375,0.46045694200351495,5774
31,1.0333,0.034622144112478034,0.48299591529187813,0.5933571900118652,0.25,0.4710017574692443,6304
32,1.0667,0.04010325131810193,0.47951289030402633,0.6050960350319315,0.2625,0.4956063268892794,7302
33,1.1,0.05086225834797891,0.48214116996004747,0.617638000048961,0.30625,0.5342706502636204,9261
34,1.1333,0.07397297891036907,0.49436066151904373,0.6470176063996985,0.371875,0.6063268892794376,13469
35,1.1667,0.15110940246045695,0.44163119230210074,0.782711418491152,0.5375,0.4024604569420035,27514
36,1.2,0.17060632688927943,0.44739076986222,0.7768340501858626,0.58125,0.4165202108963093,31064
37,1.2333,0.1858853251318102,0.44711524256928437,0.77351078548999,0.61875,0.4270650263620387,33846
38,1.2667,0.19666630052724077,0.44105584489932703,0.7726072634634812,0.64375,0.4305799648506151,35809
39,1.3,0.2037675746924429,0.4315790759258261,0.7737750744420999,0.6625,0.4305799648506151,37102
40,1.3333,0.2100615114235501,0.4215544767046643,0.7777545784812393,0.6875,0.4288224956063269,38248
41,1.3667,0.21812390158172232,0.41379182823043614,0.7840471389041456,0.715625,0.421792618629174,39716
42,1.4,0.23288664323374342,0.41108953459579284,0.7937371694052141,0.75625,0.4147627416520211,42404
43,1.4333,0.2609347539543058,0.4162343325756141,0.808040087950773,0.825,0.4094903339191564,47511
44,1.4667,0.3022352811950791,0.44357731324162747,0.8199818609986849,0.9125,0.40597539543058,55031
45,1.5,0.0117146309314587,0.4768958040318799,0.577109066085952,0.34375,0.2741652021089631,2133
46,1.5333,0.01141256590509666,0.4907287656400385,0.5828700030954463,0.3375,0.2759226713532513,2078
47,1.5667,0.011231326889279438,0.5014654645476773,0.5852424147369597,0.340625,0.27768014059753954,2045
48,1.6,0.011494947275922672,0.5111681796464406,0.5829071211511802,0.34375,0.27943760984182775,2093
49,1.6333,0.011181898066783831,0.5132398084479372,0.5849688040577169,0.34375,0.281195079086116,2036
50,1.6667,0.011472978910369068,0.5159675682144567,0.5822338283804782,0.34375,0.281195079086116,2089
51,1.7,0.011429042179261863,0.5149177078327727,0.5826023212782147,0.34375,0.28471001757469244,2081
52,1.7333,0.011456502636203866,0.5118977708533078,0.5820357323996111,0.346875,0.28646748681898065,2086
53,1.7667,0.011555360281195078,0.5117365731939164,0.5784888771575775,0.35,0.28998242530755713,2104
54,1.8,0.011824472759226714,0.5074663260566651,0.5813427456844865,0.35625,0.29349736379613356,2153
55,1.8333,0.012302284710017574,0.5083691406249999,0.5784506025608838,0.3625,0.29701230228471004,2240
56,1.8667,0.012406634446397188,0.5099961266046924,0.5789643612622348,0.36875,0.29876977152899825,2259
57,1.9,0.012939367311072055,0.5149193548387097,0.5785072551552929,0.375,0.30404217926186294,2356
58,1.9333,0.013422671353251318,0.5210924713584288,0.5814447490213112,0.38125,0.3110720562390158,2444
59,1.9667,0.014268453427065026,0.5307496150885297,0.5880358150314355,0.4,0.3216168717047452,2598
60,2.0,0.146847539543058,0.4249136294786446,0.7845435910608717,0.55,0.4130052724077329,26738
61,2.0333,0.15330074692442883,0.3920087638376384,0.8321165116543072,0.6625,0.36379613356766255,27913
62,2.0667,0.14943431458699472,0.3821713403653203,0.852419412293862,0.66875,0.335676625659051,27209
63,2.1,0.1452768014059754,0.37452083018297294,0.8571463594767403,0.65625,0.3251318101933216,26452
64,2.1333,0.14245386643233743,0.35960728467884956,0.8619221908238396,0.64375,0.3163444639718805,25938
65,2.1667,0.14189367311072057,0.3395412409041647,0.8661127604674722,0.59375,0.30755711775043937,25836
66,2.2,0.14357425307557117,0.31778185008798104,0.8700682187415251,0.6,0.3022847100175747,26142
67,2.2333,0.14489784710017575,0.3082608829549331,0.873613960419605,0.6125,0.29701230228471004,26383
68,2.2667,0.1444035588752197,0.3135689632221504,0.8772639707040779,0.625,0.29173989455184535,26293
69,2.3,0.14428822495606328,0.32350577611144943,0.8811084632526239,0.64375,0.28471001757469244,26272
70,2.3333,0.15119178383128296,0.33188796360201966,0.8787177682126042,0.6625,0.29173989455184535,27529
71,2.3667,0.17136423550087873,0.3383538114543939,0.8660143456623539,0.675,0.3163444639718805,31202
72,2.4,0.19941783831282953,0.3448114328008813,0.8463487862523409,0.69375,0.351493848857645,36310
73,2.4333,0.2272462653778559,0.3565459826715325,0.8229889056913469,0.7125,0.3884007029876977,41377
74,2.4667,0.24833589630931457,0.3741338987548931,0.801035685250345,0.725,0.4165202108963093,45217
75,2.5,0.2631535588752197,0.3942270818115413,0.7832552775886267,0.7375,0.437609841827768,47915
76,2.5333,0.2749286028119508,0.412285128548313,0.7716566156680285,0.75625,0.45166959578207383,50059
77,2.5667,0.2843530316344464,0.4241539111540319,0.7672550638620704,0.76875,0.45694200351493847,51775
